Column1,Column2
"Team,Logo URL",
"Gen.G,https://www.nicepng.com/png/full/33-332795_g-logo-full-size-gen-g-esports.png",
"Paper Rex,https://static.wikia.nocookie.net/vscr/images/1/1c/Paper_Rex_logo.png",
"T1,https://www.nicepng.com/png/full/802-8028563_t1-logo-png-skt-t1-logo-png.png",
"DRX,https://www.nicepng.com/png/full/122-1226985_drx-logo-png.png",
"ZETA DIVISION,https://www.nicepng.com/png/full/116-1169498_zeta-division-logo-png.png",
"DetonatioN FocusMe,https://www.pngkey.com/png/full/330-3304171_detonation-gaminglogo-square-detonation-focusme-logo.png",
"Team Secret,https://www.pngmart.com/files/22/Team-Secret-Logo-PNG.png",
"Rex Regum Qeon,https://www.nicepng.com/png/full/928-9288981_rex-regum-qeon-logo-png.png",
"Global Esports,https://static.wikia.nocookie.net/vscr/images/7/7c/Global_Esports_logo.png",
"Talon Esports,https://static.wikia.nocookie.net/vscr/images/2/25/Talon_Esports_logo.png",
